"client_id","wp_url"
2059,"scottgriffin.com"
2036,"trojanfinance.com"
1679,"homeloansbakersfield.com"
2053,"apmortgagesd.com"
2028,"imyourmortgageguy.com"
2075,"southernhl.com"
1761,"edgehomefinancecorp.com"
2055,"innovatemortgage.com"
2161,"flhomemortgages.com"
2088,"mottomortgagemike.com"
2142,"foxxmortgage.com"
2026,"zeroclaimsquote.com"
2197,"mortgageswithdirk.com"
2168,"mortgageexpresso.com"
2248,"mymassachusettsmortgage.com"
2230,"nwihomeloans.com"
2267,"_ceolender.com"
2226,"iapprovedfw.com"
1822,"socalmortgagepros.com.old"
2130,"jclearymortgage.com"
2306,"dreamhousebuying.com"
2205,"timcranstonteam.com"
2307,"umhomeloans.com"
2254,"kcloanguy.com"
2371,"jncfunding.com"
2330,"123mynewhomeloan.com"
2369,"clgmortgage.com"
2424,"davidgoldhirsh.com"
2116,"hfcenters.com"
2443,"indianafairway.com"
2422,"mortgagesmiles.com"
2208,"mademortgage.com"
2490,"mortgagewithkerri.com"
2511,"financehomelife.com"
2491,"bankerbenton.com"
2521,"cachevalleymortgagepros.com"
2520,"agneshomeloans.com"
2566,"_wmsource.com"
1693,"diamondmortgagedenver.com"
2569,"yourmortgagewithtrust.com"
2533,"travispenny.com"
2595,"vailmortgage.com"
2610,"frederickmortgageloans.com"
2588,"betterlendingteam.com"
2619,"iapproveabq.com"
1674,"jpotts.com"
2596,"coloradohomebuyer.org"
2605,"lamarcloans.com"
2661,"meridianloan.com"
2702,"hyraxfinancial.com"
2694,"thephangroup.com"
2715,"frankthebanc.com"
2683,"thenextcasa.com"
2656,"loan-ceo.com"
2740,"mortgagespecialist.net"
2747,"t-savage-2747.leadpops.com"
2746,"bluehomeloans.com"
2657,"iapprovepdx.com"
2719,"_aplusfunding.com"
2816,"jrmercuriorealestateandmortgage.com"
2876,"millerlending.com"
2814,"mymalvernbankmortgage.com"
2722,"approvedbybrandon.com"
2772,"evergreenreo.net"
1338,"calstatelender.com"
2881,"elixirmortgagelending.com"
1659,"awmloan.com"
1562,"nc-mortgagerates.com"
2855,"markthemortgageguy.net"
2838,"firstfidelityfunding.com"
2847,"jackolsonhomeloans.com"
2915,"cmelending.com"
2928,"inlandlender.com"
2942,"nobodybeatsmyrates.com"
2905,"primesourcemtg.com"
2857,"venturahomeloan.com"
2819,"mydmvloan.com"
2826,"brevardmortgagepro.com"
2936,"thatlendingguy.com"
2987,"_loanfimortgage.com"
2892,"sandiegoinsurancequoter.com"
2888,"lendingorange.com"
2232,"sierraviewfinancial.com"
2988,"fcfunding.com"
2968,"newunitedfunding.com"
2851,"socalhomelending.comm"
3012,"sdmortgagehound.com"
2997,"excelbroker.com"
2974,"dianepaul-loanchick.com"
1829,"unitedresidential.net"
3060,"americasbesthomeloan.com"
3063,"merchantshomelending.com"
2878,"wisconsinwholesalemortgage.com"
1621,"gateway4loans.com"
3062,"mattwalshmortgage.com"
3040,"robbyoakes.com"
1301,"_applywithsully.com"
1966,"rcgmortgage.com"
1410,"ownmtg.com"
1417,"oceansmortgage.com"
2230,"americanherohomeloans.com"
1895,"preapproval.com"
1411,"mdcgroup.net"
3124,"dollarlead.clubcom"
874,"aspirehomemortgage.com"
3143,"team644.com"
3144,"mortgagemomradio.com"
3146,"pkmortgage.com"
3147,"loansbyamanda.com"
3148,"_kellyrogersteam.com"
3151,"thesextonteam.comm"
3152,"_yorkpamortgage.com"
3155,"micklosteam.com"
1335,"callthemax.com"
2214,"crystalclearmortgages.com"
3046,"bestfinancecap.com"
3023,"rescomfs.com"
3110,"midstatebrokers.com"
3085,"utahlo.com"
3105,"mortgageteam.com"
3183,"angeloakdirect.com"
3187,"southeasternhomeloans.com"
2969,"mottomortgageag.com"
1216,"myconnecticutmortgage.com"
3106,"welcomehomeoklahoma.com"
3170,"jefftheloanguy.com"
2996,"laderalending.com"
3204,"buynowcali.com"
3188,"teamteranhomeloans.com"
3241,"lumenwoodgroup.com"
3280,"wisconsinmortgagegroup.com"
3141,"tripphomeloans.com"
3266,"veteranhomeloancenter.net"
3287,"zierlending.com"
3242,"fortmyersmortgageexpert.com"
3275,"yesmortgage4u.com"
3215,"emeraldhomeloans.com"
2871,"besthomeloanadvice.com"
2145,"getapproved.mortgage"
1390,"firstoptionvaloans.com"
3039,"dmvhomeloancenter.com"
3317,"marksbestrate.com"
3325,"sacramentomortgagerates.com"
